title,audio_file_id,genre,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
Jauje Praise Music,T5621R08m,Praise song,1,10,7,5,5,2,5,0,2,5,1,9,1,9,0,4,2,0,8,5,5,11,5,3,2,0,0,7,0,0,5,5,6,11,5,8,0
Praise Song for the Galadima of Zaria,T5621R09m,Praise song; song about leadership,10,10,10,8,11,11,8,11,11,2,6,11,6,11,3,1,2,0,8,8,5,11,5,3,5,0,0,3,0,0,0,5,4,5,2,5,5
Banga Praise Music for the Vassal Chief of Kauru,T5621R07m,Praise song; song about leadership; chief's song,8,7,7,5,5,5,5,0,0,8,0,9,6,3,0,4,2,0,11,2,2,11,2,1,0,11,0,3,5,0,0,0,4,8,11,8,2
Fadanci Praise Music,T5621R06m,Praise song; song about leadership; chief's song,10,3,5,8,11,11,5,5,0,5,6,11,6,5,11,2,2,0,11,5,2,11,0,1,0,0,0,3,0,0,0,2,4,8,11,5,2
Tatsuniya,T5621R05m,Story song,10,10,7,8,11,11,5,0,0,5,6,11,6,5,3,0,0,0,8,8,2,11,0,1,5,0,0,7,0,0,0,2,4,5,5,5,2
Goge Praise Song for NPC Political Party,T5621R04m,Praise song; song about leadership; political song,7,7,5,5,5,2,0,5,0,8,6,9,6,3,3,11,2,11,8,2,2,11,5,1,0,0,0,7,0,0,0,5,9,8,5,8,0
Kukuma Music,T5621R03m,Praise song; song about leadership; political song,8,0,10,8,11,11,8,11,11,8,6,11,6,11,3,5,2,0,8,2,2,11,5,1,5,3,0,3,5,0,0,2,6,11,5,8,2
Praise Songs for Farming Bees,T5621R02m,Praise song; bee song,2,7,7,5,2,0,0,2,0,5,6,9,6,3,3,5,2,0,3,8,2,11,0,1,0,0,0,3,0,0,0,5,4,8,5,8,2
Grinding Song,T5621R01m,Work song; grinding song,10,10,10,8,11,11,8,11,11,5,6,11,6,11,3,3,2,0,8,5,0,11,0,1,5,0,0,3,0,0,0,5,4,8,2,5,2
Ibo Song,T40016R01,Begging song,10,11,11,8,11,11,11,11,11,5,0,11,11,11,3,5,2,0,11,5,5,11,5,3,5,11,0,3,5,0,0,5,4,5,8,2,2
Banakashi Tabalila,T5446R31,Topical song,7,10,7,0,0,0,0,2,0,5,6,5,6,1,3,1,2,0,3,5,2,2,0,1,5,0,0,3,0,5,0,5,4,5,5,5,2
"Katikalepuke, Katikatobeke",T5446R28,Topical song,7,10,7,0,0,0,5,2,0,5,6,9,6,5,3,4,2,1,3,2,5,4,2,3,5,0,0,3,0,5,0,5,4,5,5,5,5
Ifye Achitile Ba Ya Beli,T5446R25,Topical song,4,4,6,0,0,0,5,0,2,2,1,9,6,9,3,6,2,9,8,2,5,2,2,3,5,0,0,3,0,0,5,2,2,8,8,5,2
Mayo,T5446R23,Topical song,4,10,6,0,0,0,0,0,2,8,6,9,6,3,0,2,0,1,8,2,5,2,2,3,5,0,0,7,0,0,0,2,2,8,8,5,2
Maitumbe,T5444R34,Dance song; greeting song,4,10,7,0,0,0,0,5,0,8,6,9,6,1,0,6,2,4,3,2,5,4,2,1,5,0,0,3,0,0,0,2,2,8,8,5,5
Tondwe Kasobele Ku Bulaya,T5444R32,Animal song; topical song,4,10,7,0,0,0,0,5,0,8,6,9,6,1,0,7,5,6,11,2,5,2,2,1,5,0,0,3,0,0,0,2,2,8,8,2,2
Saeta,T5590R19,Lament; saeta; processional music,10,6,7,8,11,11,5,5,0,11,0,11,0,5,3,2,8,0,8,5,8,11,8,11,0,11,0,7,11,0,5,5,9,8,5,8,8
Sevillanas,T5590R20,Comic song; festival song; dance song; saint's song; Sevillanas,10,9,6,8,11,11,5,0,2,8,6,11,6,5,3,9,2,11,3,2,5,11,5,1,2,0,0,3,5,0,5,5,9,8,5,5,5
Tangos de Granada,T5468R41,Women's song; dance song; tango,10,9,10,8,11,11,0,5,2,8,6,11,6,5,3,5,5,1,11,2,8,11,11,1,2,0,0,3,5,0,11,2,11,8,5,5,2
Fandangos de Huelva,T45023,Dance song,10,10,10,8,11,11,0,11,11,8,1,11,6,11,3,7,2,4,11,2,8,11,11,1,0,7,0,0,0,11,11,5,11,11,5,8,8
War with the Turks,T5437R07,War song,2,4,10,5,2,2,8,11,11,2,1,9,0,11,3,6,2,7,11,2,2,11,2,3,5,3,11,3,0,5,0,5,4,5,5,8,2
Death of Chief's Son,T5437R10,Mourning song; lament,3,4,10,5,2,2,8,11,11,2,1,9,0,11,3,6,0,7,8,2,0,11,2,3,2,0,11,3,0,0,0,2,4,5,5,8,2
Death of a Young Man by a Lion,T5437R11,Mourning song; lament,4,4,10,5,2,0,8,11,11,5,1,9,0,11,3,10,2,11,8,0,2,11,2,1,2,0,11,3,0,0,0,2,4,2,5,5,2
Death by Small Pox,T5437R12,Mourning song,3,4,10,5,0,2,8,11,11,5,1,9,0,11,3,9,0,11,8,2,2,11,2,1,2,0,11,3,0,0,0,5,4,2,5,5,2
Satirical Song About Oppressive District Chief,T5437R13,Satirical song; girls' song; song about leadership; chief's song,6,11,11,5,2,2,11,11,11,5,1,9,11,11,3,6,5,7,11,2,2,11,2,3,2,0,0,3,0,0,0,2,4,5,5,5,5
Satirical Song Against a Girl and Lover,T5437R14,Satirical song; girls' song,4,11,11,5,2,2,11,11,11,5,1,9,11,11,3,7,2,7,8,0,2,11,2,1,2,0,0,0,0,0,0,2,4,5,5,8,2
Satirical Song Against a Girl arom Another Section and Her Luo Lover,T5437R15,Satirical song; girls' song,4,11,11,5,2,2,11,11,11,5,1,9,11,11,3,6,0,9,8,2,2,11,2,3,2,0,0,3,0,0,0,5,4,2,5,5,2
"Wiang, Wiang",T5437R16,Praise song; chief's song,6,11,11,5,2,2,11,11,11,2,6,9,11,11,3,6,2,9,11,2,2,11,2,3,5,0,0,3,0,0,0,2,2,5,5,5,5
Mourning Song by Love Priestess,T5437R09,Mourning song,10,11,11,8,11,11,11,11,11,5,1,11,11,11,3,0,0,1,11,2,2,11,0,3,2,7,0,3,0,0,5,0,4,5,5,5,8
Yap Song 1,T5427R57,Women's song,0,9,6,5,5,5,5,0,5,2,1,9,9,9,3,5,0,0,11,8,5,11,0,3,0,0,0,3,0,0,5,5,6,8,5,8,8
Yap Song 2,T5427R58,Women's song,0,9,6,5,5,5,5,0,5,2,1,9,1,9,3,5,5,0,1,5,2,11,2,3,0,0,0,3,0,0,5,8,6,8,8,8,5
Yap Song 1,T5427R59,Women's song,6,11,11,5,5,8,11,11,11,2,1,9,11,11,3,1,5,0,11,8,5,11,2,7,0,3,0,7,5,0,5,5,6,8,5,5,5
Yap Song 3,T5427R60,"",4,11,11,5,5,5,11,11,11,2,1,9,11,11,3,5,5,0,0,5,2,11,2,7,0,7,0,7,0,0,0,5,4,5,5,8,5
Yap Song 4,T5427R51,Girls' song,6,9,6,5,5,2,5,0,5,2,1,11,9,9,3,2,8,0,11,8,5,11,5,9,2,7,7,7,5,0,0,5,9,11,8,5,8
Yap Song 5,T5427R52,Comic song; responsorial song,4,11,11,5,8,5,11,11,11,2,0,9,11,11,3,11,0,11,1,2,2,11,5,9,0,11,0,7,0,0,0,5,6,11,11,11,5
Yap Song 6,T5427R53,"",6,9,6,0,5,2,5,0,5,5,1,9,6,9,3,4,11,0,8,8,5,4,0,7,5,3,0,3,5,0,0,5,6,8,5,5,5
Yap Song 7,T5427R54,"",6,9,6,0,5,5,5,0,5,5,1,9,6,9,3,2,2,0,11,8,5,4,2,3,5,0,0,7,5,0,0,5,6,8,5,5,5
Yap Song 8,T5427R55,Responsorial song,6,9,6,0,5,5,5,0,5,5,1,9,9,9,3,2,11,0,11,5,5,4,2,3,2,0,0,3,0,0,0,5,6,8,5,8,5
Yap Song 9,T5427R56,"",4,9,6,0,5,2,5,0,5,5,1,9,9,9,3,1,11,0,0,5,5,4,0,3,2,3,0,3,0,0,0,5,6,8,5,8,5
Paidre di Caterina,T5471R34,"",6,11,11,0,0,2,11,11,11,8,1,5,11,11,3,7,5,3,1,2,5,2,2,9,5,0,0,3,0,0,0,2,2,5,5,5,8
Cavalier di Pigna,T5471R33,"",6,11,11,0,0,2,11,11,11,8,0,0,11,11,11,7,8,9,1,2,5,0,2,9,5,11,0,3,5,5,0,0,2,2,5,5,5
Povero merlo mio,T1981,Cumulative song; children's song,4,11,11,0,0,2,11,11,11,5,1,9,11,11,3,7,2,7,1,5,2,4,0,3,5,0,0,0,0,0,0,2,2,2,2,2,5
Canto dell'albero,T1982,Cumulative song,4,11,11,0,0,2,11,11,11,8,6,5,11,11,3,6,5,7,1,2,5,4,2,9,2,3,0,3,0,0,0,0,2,2,5,8,5
"Fa la nana, petita pezina",T1983,Lullaby,10,11,11,8,11,11,11,11,11,8,6,11,11,11,3,6,2,9,8,5,5,11,2,7,5,3,0,3,5,0,0,2,4,8,5,5,8
Tenga serpentina,T1984,Ballad,6,11,11,0,0,5,11,11,11,11,0,0,11,11,3,7,8,3,1,2,2,0,0,9,5,11,0,3,11,0,0,0,2,8,5,2,5
"Dá-Lá-Dou, Abaular",T5468R38,Shepherd's song; work song; herding song; pastoral song,8,11,11,8,11,11,11,11,11,8,1,11,11,11,3,1,5,0,3,5,5,11,2,7,5,3,0,3,5,5,0,5,4,8,2,5,5
Faixinha Verde,T5468R32,Threshing song; work song; agricultural song,10,11,11,8,11,11,11,11,11,8,0,11,11,11,3,0,5,0,8,8,5,11,2,7,5,11,0,7,5,5,0,5,6,5,2,5,2
Encomendação das Almas,T5468R35,Prayer; chant; for the dead,10,11,11,8,11,11,11,11,11,8,6,11,11,11,3,6,2,4,3,5,5,11,5,9,8,7,0,11,5,0,0,5,6,5,2,5,5
Galandum,T5468R34,Dance song,10,11,11,8,11,11,11,11,11,8,6,11,11,11,0,9,2,11,8,5,5,11,0,3,5,0,0,0,5,0,0,5,4,5,2,5,11
Ró-Ró,T5468R37,Lullaby,10,11,11,8,11,11,11,11,11,8,6,11,11,11,0,6,5,4,11,5,5,11,0,7,8,0,0,7,0,0,0,2,6,8,2,2,5
Poetic Song,T5469R15,Lyric song,10,11,11,8,11,11,11,11,11,11,6,11,11,11,0,7,2,4,11,5,2,11,8,7,5,7,0,3,0,0,5,5,9,11,5,5,8
Currente,T5469R16,Currente,10,0,10,8,11,11,8,11,11,8,0,11,0,11,0,7,2,4,11,8,5,11,5,7,2,11,11,0,0,0,5,5,9,8,5,5,8
Chiama e Rispondi,T5469R14,Improvised song,8,11,11,8,11,11,11,11,11,11,0,11,11,11,3,8,5,7,11,5,5,11,8,9,2,11,0,3,5,0,5,5,6,8,5,5,8
Paghiella,T5469R13,Love song,5,11,11,0,2,5,11,11,11,11,0,0,11,11,3,2,8,0,1,2,8,0,11,9,2,11,0,3,11,5,11,2,6,8,8,5,5
Hanunoo Song 1,T5423R16,"",10,6,10,8,11,11,8,11,11,8,1,11,1,11,11,11,5,9,3,8,5,11,0,7,8,7,7,3,5,0,0,2,6,8,5,5,8
Hanunoo Song 2,T5423R15,"",10,4,10,8,11,11,8,11,11,8,1,11,1,11,11,2,5,0,8,8,5,11,2,7,8,7,3,3,0,0,0,2,4,8,8,5,8
Fishing Song,T5402R26m,Work song; fishing song,1,11,11,0,2,2,11,11,11,2,1,9,11,11,0,3,0,0,11,0,5,6,0,7,8,0,0,3,0,5,0,5,6,8,5,8,5
Fiesta Song,T5402R27m,Fiesta song,6,11,11,5,5,2,11,11,11,2,1,9,11,11,0,0,5,1,8,2,5,11,0,9,11,3,0,7,0,5,0,2,6,11,5,5,5
Medicine Man's Song ,T5402R28m,Shaman song; healing song,10,11,11,8,11,11,11,11,11,5,1,11,11,11,3,10,5,11,8,2,2,11,2,3,8,0,0,0,0,5,0,5,6,8,8,8,5
Traveling Song,T5402R29m,Traveling song,6,11,11,0,8,5,11,11,11,2,1,9,11,11,0,4,5,0,8,2,5,9,0,3,5,0,0,3,0,5,0,5,4,8,5,8,5
Traveling Song,T5402R30m,Traveling song,6,11,11,0,8,2,11,11,11,2,6,9,11,11,3,1,8,1,8,2,2,6,2,7,2,0,0,3,0,5,0,11,4,8,8,8,5
Girls' Puberty Rite Song,T5402R31m,Puberty song; circumcision song; ceremonial song,7,11,11,0,5,2,11,11,11,2,1,9,11,11,3,9,5,11,1,8,2,9,0,7,5,0,0,3,5,5,0,5,6,8,5,5,5
Unidentified Song 1,T5402R32m,Men's song,7,11,11,0,5,5,11,11,11,2,1,9,11,11,3,6,5,9,8,2,2,6,2,7,8,0,0,3,0,5,0,11,4,8,2,5,5
Stomp Dance,PENDING,Dance song; stomp dance,4,11,11,5,5,5,11,11,11,2,1,9,11,11,3,6,5,9,11,5,2,11,0,7,11,7,0,3,0,5,0,5,4,8,0,2,5
Marching Song,T5425R22m,Marching song; calls,6,11,11,5,0,0,11,11,11,0,6,9,11,11,3,0,11,0,11,11,8,11,0,1,0,3,0,3,0,0,0,5,2,0,0,0,0
Pearl Distribution Song: Calls,T5614R01m,Work song; calls,3,11,11,5,2,2,11,11,11,2,6,9,11,11,3,0,5,0,11,8,5,11,0,3,0,0,0,3,0,0,0,8,4,5,8,8,5
Pearl Distribution Song: March,T5614R02m,Marching song; calls; work song,6,9,6,5,5,5,5,0,2,2,6,9,9,9,0,11,5,9,11,8,2,11,0,7,0,3,0,7,0,0,5,5,4,5,8,8,2
"Courting Song, Number 3",T5425R17,Courtship song,6,11,11,5,5,5,11,11,11,2,0,9,11,11,3,2,2,1,8,8,8,11,0,7,2,11,0,7,0,0,0,5,4,8,8,2,2
Pearl Distribution Song,T5425R23m,Work song; calls,0,11,11,0,0,0,11,11,11,2,0,5,11,11,3,0,5,0,8,8,5,9,0,7,0,0,0,0,0,0,0,5,2,0,0,8,2
"Courting Song, Number 7",T5425R19,Courtship song,7,11,11,5,2,2,11,11,11,2,1,9,11,11,3,1,2,1,11,8,5,11,0,7,2,3,0,3,0,0,0,5,4,8,8,5,0
"Courting Song, Number 11",T5425R20,Courtship song,7,11,11,5,2,5,11,11,11,2,1,9,11,11,11,0,5,0,11,8,5,11,0,7,2,7,0,3,0,0,0,5,4,8,8,2,0
"Courting Song, Number 12",T5425R21,Courtship song,7,11,11,5,5,5,11,11,11,5,0,9,11,11,0,8,5,7,8,8,5,11,0,9,2,11,0,7,0,0,0,5,4,5,5,2,2
"Courting Song, Number 4",T5425R18,Courtship song,4,11,11,5,5,2,11,11,11,2,1,9,11,11,3,1,2,0,11,8,2,11,0,3,5,3,0,3,0,0,0,2,4,5,5,5,5
"Courting Song, Number 2",T5425R16,Courtship song,6,11,11,5,5,8,11,11,11,2,1,9,11,11,3,0,5,0,8,8,5,11,0,7,2,7,0,7,5,0,0,5,4,8,8,2,0
Death Song 2,PENDING,Mourning song; death song,10,11,11,8,11,11,11,11,11,2,1,11,11,11,3,3,2,11,3,5,2,11,0,7,8,0,0,7,0,0,0,0,6,5,5,5,5
Turtle Dance Song 2,PENDING,Dance song; animal song,10,10,10,8,11,11,8,11,11,2,6,11,6,11,3,9,2,11,8,5,2,11,0,3,5,0,0,7,0,5,5,5,4,8,8,5,2
Turtle Dance Song 1,PENDING,Dance song; animal song,10,10,10,8,11,11,8,11,11,5,1,11,9,11,0,9,2,11,11,5,2,11,0,3,5,0,0,7,0,11,0,0,4,8,8,5,5
Bird Dance Song,PENDING,Dance song; animal song,10,10,10,8,11,11,8,11,11,2,1,11,6,11,3,0,2,0,8,8,2,11,0,7,5,0,0,7,5,0,0,5,4,5,5,5,2
Medicine Song 4,PENDING,Healing song; shaman song; medicine song; dream song,4,10,10,5,5,0,8,11,11,5,1,9,6,11,3,10,2,11,11,8,2,11,0,3,5,0,0,7,0,11,0,2,4,8,5,5,5
Medicine Song 1,PENDING,Healing song; shaman song; medicine song; dream song,4,10,10,5,2,2,8,11,11,5,1,9,9,11,3,9,5,11,8,5,5,11,0,3,5,0,0,7,5,5,5,5,4,8,8,5,2
Death Song 1,PENDING,Mourning song; death song,10,11,11,8,11,11,11,11,11,5,6,11,11,11,3,3,2,0,8,5,2,11,0,3,5,0,0,7,0,0,0,2,4,8,5,5,5
Medicine Song 5,PENDING,Healing song; shaman song; medicine song; dream song,4,10,10,5,8,2,8,11,11,2,6,9,6,11,3,3,5,11,11,8,2,11,0,7,5,0,0,11,5,0,5,2,4,8,8,5,2
Medicine Song 3,PENDING,Healing song; shaman song; medicine song; dream song,4,10,10,5,5,0,8,11,11,2,1,9,9,11,3,4,5,0,8,8,2,11,0,3,5,0,0,7,5,5,5,2,4,8,8,5,5
Medicine Song 2,PENDING,Healing song; shaman song; medicine song; dream song,4,10,10,5,5,2,8,11,11,2,1,9,6,11,7,3,5,0,8,8,5,11,0,3,5,0,0,7,0,5,5,5,4,8,8,5,2
Possession by a Spirit,T5438R05,Possession song; spirit song,4,9,6,5,2,0,5,0,0,5,1,9,9,9,3,11,5,11,8,2,2,11,0,3,2,0,0,3,0,0,0,0,2,2,5,5,2
Song to Spirit Ngundeng,T5438R03,Spirit song,4,11,11,5,0,2,11,11,11,5,1,9,11,11,0,5,2,0,8,0,2,11,0,3,0,11,0,0,0,0,5,2,4,5,5,8,5
Praise Song to a Bull,T5438R04,Praise song,10,11,11,8,11,11,11,11,11,8,0,11,11,11,3,11,5,11,11,0,2,11,0,1,8,11,0,0,0,0,0,5,4,5,5,8,8
Possession by a Spirit,T5438R06,Possession song; spirit song,1,9,6,5,5,5,5,0,0,5,1,9,9,9,3,5,2,11,8,2,2,4,2,3,2,0,0,3,0,0,0,2,4,5,5,8,5
Nuer Song,T5437R47,"",10,10,7,8,11,11,0,5,0,5,6,11,6,3,3,11,0,11,8,2,2,11,2,3,5,0,0,3,0,0,0,5,4,8,5,8,2
Nuer Song,T5438R02,"",10,10,7,8,11,11,0,5,0,5,1,11,6,3,3,3,5,0,11,2,2,11,2,1,2,0,0,3,0,0,0,2,4,8,5,8,2
Bull Song,T5438R01,Animal song,10,10,10,8,11,11,8,11,11,5,1,11,6,11,3,11,5,11,8,0,2,11,2,3,2,3,0,3,5,0,0,2,4,5,8,2,2
Praise of Bull Madjok,T5437R49,Praise song,10,11,11,8,11,11,11,11,11,5,6,11,11,11,0,9,0,11,11,5,2,11,2,3,2,0,0,3,0,0,0,5,4,5,8,8,2
Chief's Song,T5437R48,Chief's song,10,10,10,8,11,11,8,11,11,5,1,11,9,11,3,10,0,11,11,5,2,11,2,1,5,7,0,3,0,0,5,5,4,8,11,8,5
Warrior's Lament,T5437R45,Lament; warrior's song; narrative song,7,10,6,2,2,8,5,0,5,5,1,7,0,7,3,11,5,11,11,2,2,11,0,3,2,3,7,0,0,0,0,2,4,8,8,8,2
Love Story,T5437R46,Love song,6,10,6,5,2,5,5,0,2,5,6,9,6,5,3,10,0,11,8,5,2,11,0,3,5,0,0,3,0,0,0,5,6,8,5,8,2
Shaman's chant,T5401R08m,Shaman song,10,11,11,8,11,11,11,11,11,0,1,11,11,11,3,0,2,0,3,5,2,11,2,3,5,0,0,3,0,5,5,5,6,8,8,5,5
Yahgan Song 4,T5401R09m,"",10,11,11,8,11,11,11,11,11,0,1,11,11,11,3,0,5,0,11,8,0,11,2,3,5,0,0,3,0,5,5,5,6,8,8,5,5
Medicine Man Song,T5401R10m,Shaman song,10,11,11,8,11,11,11,11,11,2,6,11,11,11,0,1,2,1,11,8,5,11,2,3,5,0,0,3,0,5,5,2,6,8,8,5,5
Medicine Man Song,T5401R11m,Shaman song,10,11,11,8,11,11,11,11,11,2,1,11,11,11,11,0,5,0,11,8,5,11,2,3,5,0,0,3,5,5,5,2,4,8,8,5,2
Selk'nam Song 3,T5401R12m,"",10,11,11,8,11,11,11,11,11,0,1,11,11,11,3,1,2,0,11,8,5,11,5,3,5,0,0,3,0,5,5,2,6,8,8,8,5
Selk'nam Song 2,T5401R13m,"",10,11,11,8,11,11,11,11,11,2,1,11,11,11,3,1,5,0,3,8,2,11,2,3,5,7,0,7,5,5,11,2,6,8,11,5,5
Love Song,T40026R05m,Love song; song for royalty,4,9,6,5,2,0,5,2,0,2,6,9,6,9,3,1,5,0,11,8,2,11,2,1,5,0,0,3,5,0,5,2,4,5,5,8,2
Greeting Song,T40026R02m,Greeting song; song for royalty,2,9,6,5,2,2,5,0,2,5,6,9,9,9,3,0,2,0,3,5,2,11,5,3,5,3,0,3,5,0,5,2,4,5,5,5,2
Chant,NULL,Chant; song for royalty,10,10,10,8,11,11,8,11,11,5,3,11,9,11,3,0,0,0,11,8,5,11,0,3,8,0,0,0,0,0,0,2,6,8,8,5,5
Wedding Song,T5521R48,Wedding song,0,9,6,5,2,0,5,0,2,8,1,9,9,9,3,4,0,0,1,2,2,11,2,3,5,0,0,7,5,0,5,5,6,8,5,5,2
Song to Make Camels Drink,T9536R10,Work song; agricultural song,2,11,11,0,2,0,11,11,11,5,6,9,11,11,3,2,0,0,8,5,5,6,2,1,5,0,0,3,5,0,5,2,4,5,5,5,2
Male Antiphonal Song,T40026R01m,Men's song; song for royalty,2,11,11,0,2,5,11,11,11,5,1,9,11,11,3,5,5,1,3,2,2,9,5,7,5,3,0,11,11,0,0,2,4,5,5,5,2
Marriage Song,T40026R03m,Wedding song; song for royalty,2,11,11,5,2,2,5,0,2,5,6,9,9,9,3,5,2,0,11,5,5,11,5,3,2,0,0,7,5,0,5,2,4,8,5,5,2
Love Song,T40026R04m,Love song; song for royalty,4,9,6,5,2,2,5,0,2,2,6,9,6,9,3,0,0,0,8,11,8,11,0,3,5,0,0,3,0,0,0,2,4,8,5,5,2
Goitch ,T5437R43,Milking song; work song; critical song; pastoral song; cattle song,10,11,11,8,11,11,11,11,11,8,0,11,11,11,3,11,2,11,8,2,2,11,0,3,5,11,0,0,0,0,0,5,4,8,5,5,8
Goitch ,T5437R42,Milking song; work song; pastoral song,10,11,11,8,11,11,11,11,11,5,0,11,11,11,3,11,2,11,8,2,2,11,0,3,5,11,0,0,0,0,0,5,4,8,5,5,5
Kep,T5437R41,Courtship song,10,11,11,8,11,11,11,11,11,8,0,11,11,11,3,11,2,11,8,2,2,11,0,3,2,11,0,0,0,0,0,5,4,8,8,8,2
Hands Off My Daughter,T5437R44,Women's song,4,11,11,5,5,0,11,11,11,2,1,9,11,11,3,3,2,0,8,2,2,11,0,3,2,0,0,3,0,0,0,5,4,5,5,8,8
Praise for a Bull,T5437R40,Praise song; animal song,10,11,11,8,11,11,11,11,11,5,1,11,11,11,3,2,2,0,8,2,2,11,0,3,2,3,0,3,0,0,0,2,2,8,2,8,8
Dance Song,T5437R38,Dance song,4,9,6,5,2,0,5,0,2,2,1,9,9,9,3,4,2,0,11,5,2,11,0,3,2,0,0,3,0,0,0,5,4,5,5,5,2
Dinka Women's Song 1,T5437R37,Women's song,2,11,11,5,2,0,11,11,11,2,6,9,11,11,3,4,2,0,8,8,2,11,0,3,5,0,0,3,0,0,0,5,2,5,5,5,5
Garden of Victor Paul,T5437R36,Women's song,4,11,11,5,2,0,11,11,11,2,1,9,11,11,3,5,2,1,1,5,2,11,0,3,2,0,0,3,0,0,0,8,4,5,5,5,2
Oskee Yel Fall,T5437R02,Morality song,10,0,10,8,11,11,0,11,11,2,3,11,3,11,0,1,5,0,11,2,2,11,0,7,11,3,3,3,5,0,0,0,2,5,2,0,2
"Song About a Cow, Nydja's Who Had Four Horses and Was Strong",T5437R01,Praise song; cattle song,10,0,10,8,11,11,0,11,11,5,1,11,1,11,3,6,5,4,11,2,2,11,0,7,8,0,0,3,0,0,0,0,4,5,2,0,2
Song of Deng Ushucalla,T5436R27m,Healing song; medicine song,4,9,6,5,5,5,5,2,0,5,6,9,6,5,3,7,5,4,11,5,2,11,0,1,5,3,0,3,0,0,0,5,4,8,8,5,2
Song by Dak Adieng,T5436R24m,Praise song; dance song,2,9,6,8,11,11,5,2,2,5,1,11,6,5,3,11,0,11,11,2,2,11,0,3,2,0,0,3,0,0,0,2,4,8,5,8,2
Praise Song to Reth,T5436R25m,Praise song,1,9,6,5,5,0,5,2,2,5,1,9,6,5,3,10,2,11,3,2,2,11,2,3,5,0,0,3,0,0,0,5,4,8,5,5,2
Age-grade Song,T5436R26m,Puberty song,1,9,6,5,5,2,5,2,0,5,6,3,6,3,3,7,5,7,8,2,2,11,0,3,2,0,0,3,0,0,0,2,4,8,8,8,2
"Awai Lai, Lidi, Patsch",T5437R03,Praise song,2,9,6,5,5,2,5,0,2,5,6,9,9,9,3,9,8,11,11,2,2,11,0,3,5,0,0,3,5,0,0,5,4,8,5,5,2
Fisherman's Complaint,T5437R04,Fisherman's song; complaint song,4,9,6,5,2,2,5,0,2,2,6,9,9,9,3,10,5,11,11,5,2,11,0,1,5,0,0,3,5,0,0,5,4,5,5,5,2
Harvest Song,T5437R05,Harvest song,4,9,6,5,2,2,5,2,2,5,6,9,6,5,3,10,5,11,8,2,2,11,0,1,2,0,0,3,0,0,0,2,4,5,8,8,0
Shilluk Ceremonial Song,T5437R06,Dance song; ceremonial song,4,0,1,5,5,2,5,2,0,5,1,9,6,5,3,4,5,1,8,2,2,11,0,1,2,0,0,0,0,0,0,2,4,8,5,8,2
Yahgan Song 3,T5401R01m,Men's song,10,11,11,8,11,11,11,11,11,0,6,11,11,11,3,1,5,0,11,11,5,11,2,7,5,0,0,3,5,5,5,5,6,8,8,8,5
Yahgan Song 2,T5401R02m,Chant; for the dead,10,11,11,8,11,11,11,11,11,0,6,11,11,11,3,0,2,1,3,11,11,11,0,3,5,3,0,0,0,0,0,5,6,8,8,5,5
Yahgan Song 1,T5401R03m,Men's song,10,11,11,8,11,11,11,11,11,0,1,11,11,11,3,1,2,0,8,8,8,11,2,7,5,0,0,7,5,5,0,5,9,8,11,5,2
Yahgan Song 7,T5401R04m,Women's song,10,11,11,8,11,11,11,11,11,2,1,11,11,11,3,1,8,1,0,8,8,11,2,3,5,0,0,3,5,5,11,5,6,5,5,5,2
Yahgan Song 6,T5401R05m,Women's song,10,11,11,8,11,11,11,11,11,2,1,11,11,11,3,1,8,0,0,8,8,11,5,7,5,7,0,7,5,5,11,5,6,8,8,5,5
Yahgan Song 5,T5401R06m,Women's song,6,11,11,5,5,2,11,11,11,2,1,9,11,11,3,6,5,4,11,8,5,4,2,7,5,0,0,3,11,5,11,2,6,8,8,5,0
Song of the West Wind,T5401R07m,Forest song; calls,10,11,11,8,11,11,11,11,11,2,1,11,11,11,3,3,5,0,11,8,5,11,0,3,5,3,0,3,5,5,5,5,6,8,8,2,5
Dingli,T5459R43,Festival song,0,0,0,0,0,0,0,0,0,2,6,9,1,1,3,5,2,0,11,5,5,4,0,3,5,0,0,3,0,0,0,5,2,2,5,2,2
Musique de Divertissement,T5459R45,Entertainment song,2,4,10,0,2,2,0,11,11,2,1,9,6,11,3,2,5,1,8,5,5,4,0,7,5,0,0,3,5,5,0,5,2,5,5,2,2
Musique de Fete,T5459R46,Festival music; celebratory song,2,0,6,0,0,0,5,0,0,8,0,0,1,5,3,5,2,0,11,5,5,0,0,3,2,0,0,3,5,0,0,5,2,2,5,2,2
Ceremonies D'excision,T5459R47,Initiation rite; circumcision song; girls' song,0,11,11,0,0,0,11,11,11,2,1,0,11,11,3,2,2,0,8,5,2,0,2,7,5,0,0,3,5,0,0,5,0,2,5,5,2
Chant de Danse du Masque Angbai,T5459R39,Dance song; initiation rite; mask dance; chant,4,9,6,0,0,0,5,0,0,2,6,9,9,9,3,0,2,0,11,5,5,4,0,3,5,0,0,0,0,0,0,5,4,5,5,5,5
